date,close_last,volume,open,high,low
08-19-2022,114.76,5288830,118.18,119.22,114.10
08-18-2022,121.27,3373946,121.50,122.20,120.28
08-17-2022,121.87,4336182,121.63,123.27,120.64
08-16-2022,124.18,4371514,124.23,125.42,122.62
08-15-2022,126.04,4884711,123.55,126.43,123.20
08-12-2022,124.51,5012478,122.80,125.00,121.12
08-11-2022,121.50,8110104,121.30,127.09,120.96
08-10-2022,118.73,5529014,119.33,120.34,116.30
08-09-2022,114.44,4201213,115.00,115.67,112.80
08-08-2022,115.82,5382935,118.16,119.64,115.43
08-05-2022,117.11,6494951,115.52,118.87,114.82
08-04-2022,119.22,9180317,114.31,119.24,114.26
08-03-2022,115.02,23354940,108.23,115.57,107.65
08-02-2022,116.34,15208220,111.67,117.78,111.10
08-01-2022,111.20,6019506,110.00,113.96,107.48
07-29-2022,110.98,4637779,108.20,111.16,107.11
07-28-2022,108.84,4471883,108.17,110.06,104.68
07-27-2022,107.36,5362726,105.79,107.99,104.06
07-26-2022,101.91,4190993,102.38,103.63,101.10
07-25-2022,104.95,3142931,103.78,105.26,101.48
07-22-2022,103.97,4243932,108.31,110.10,102.93
07-21-2022,108.14,4284851,106.98,108.50,104.41
07-20-2022,107.73,6834133,103.11,108.92,102.75
07-19-2022,102.20,5603808,99.70,102.71,98.76
07-18-2022,97.67,7171484,96.78,101.88,95.98
07-15-2022,94.66,7497187,92.55,95.65,90.66
07-14-2022,91.05,8334633,94.28,94.58,90.17
07-13-2022,95.64,6967800,93.75,96.59,91.61
07-12-2022,96.55,4170185,95.30,97.69,93.32
07-11-2022,95.10,6043682,96.00,97.09,93.27
07-08-2022,97.35,5669474,96.23,98.12,93.24
07-07-2022,97.50,7480538,93.66,97.55,92.16
07-06-2022,92.88,5702961,95.29,96.17,91.80
07-05-2022,95.94,7653996,88.88,96.01,86.75
07-01-2022,91.41,5995434,89.09,91.46,87.43
06-30-2022,89.08,9007783,92.49,92.91,86.71
06-29-2022,93.93,6522572,96.83,97.00,92.05
06-28-2022,97.53,7747662,103.34,105.45,97.09
06-27-2022,101.50,7352143,103.96,104.17,99.33
06-24-2022,103.51,28797400,97.52,104.18,96.33
06-23-2022,95.72,12340820,100.00,100.80,93.02
06-22-2022,99.53,8986027,99.00,102.50,98.72
06-21-2022,102.27,6532713,102.69,104.89,101.62
06-17-2022,99.49,11293110,93.53,100.61,93.53
06-16-2022,93.26,9435656,96.19,97.50,92.09
06-15-2022,101.47,6260439,100.02,103.65,98.92
06-14-2022,98.87,5915344,99.54,101.35,97.20
06-13-2022,98.93,9587311,102.85,105.33,98.36
06-10-2022,108.91,6941056,111.80,115.13,108.32
06-09-2022,115.72,5315873,122.31,122.98,115.42
06-08-2022,123.77,3775619,121.43,125.51,121.23
06-07-2022,122.90,3331236,119.76,123.91,119.12
06-06-2022,122.02,4160239,123.33,124.18,119.92
06-03-2022,119.83,4584611,118.07,121.50,117.56
06-02-2022,121.26,5177244,117.13,123.00,116.27
06-01-2022,116.72,6879606,121.05,121.07,114.40
05-31-2022,120.87,9117555,120.50,122.30,117.16
05-27-2022,120.50,7391500,116.00,120.70,115.77
05-26-2022,114.30,6883200,109.74,115.55,108.11
05-25-2022,110.40,6203324,105.89,111.94,104.97
05-24-2022,106.24,6415752,111.28,111.42,103.74
05-23-2022,113.28,6000751,113.55,115.15,110.93
05-20-2022,112.55,6961860,115.46,116.25,108.50
05-19-2022,114.17,8926616,108.18,116.35,107.45
05-18-2022,108.03,9718744,116.11,117.04,107.62
05-17-2022,117.50,6962904,119.97,120.18,114.51
05-16-2022,114.44,7588370,121.00,121.07,113.25
05-13-2022,121.45,8595379,119.96,123.29,118.82
05-12-2022,115.94,9264303,113.66,120.49,111.22
05-11-2022,116.15,13661360,114.53,123.77,112.37
05-10-2022,116.13,13638470,122.95,123.46,113.53
05-09-2022,119.37,14430890,131.76,131.89,118.83
05-06-2022,135.84,9573058,142.70,143.11,133.04
05-05-2022,143.09,11367230,152.19,153.88,140.86
05-04-2022,156.18,20598070,152.55,158.74,145.87
05-03-2022,145.00,16774660,154.09,154.49,141.58
05-02-2022,152.78,5945287,153.21,155.13,147.21
04-29-2022,153.21,4033057,158.88,163.24,153.00
04-28-2022,159.74,4854490,154.01,161.26,153.66
04-27-2022,152.23,4825954,153.82,157.30,150.44
04-26-2022,153.04,4075004,158.40,159.20,152.80
04-25-2022,158.39,3868115,154.33,159.79,152.10
04-22-2022,156.09,3863419,157.84,161.67,154.78
04-21-2022,157.91,4714572,168.98,170.93,156.68
04-20-2022,164.55,3997912,172.61,172.61,164.31
04-19-2022,170.12,2857124,165.74,170.82,165.71
04-18-2022,165.74,3339887,169.27,170.12,164.35
04-14-2022,170.70,5125142,171.66,174.64,170.30
04-13-2022,171.85,7211893,160.84,172.96,160.65
04-12-2022,160.11,4113036,163.70,166.11,157.28
04-11-2022,160.25,3877215,159.84,163.57,157.41
04-08-2022,162.56,3448377,162.52,164.90,159.35
04-07-2022,165.91,4146557,163.19,167.86,161.71
04-06-2022,164.66,4287691,167.05,168.77,161.58
04-05-2022,171.21,4064959,177.19,179.09,170.12
04-04-2022,177.02,3500522,175.02,177.02,172.59
04-01-2022,173.07,3644935,173.06,177.94,172.23
03-31-2022,171.76,3232222,173.54,176.15,171.16
03-30-2022,173.63,3707406,173.13,176.82,172.02
03-29-2022,175.52,5452762,172.11,178.88,171.81
03-28-2022,167.65,3829793,167.22,168.72,162.43
03-25-2022,167.22,2956870,169.94,170.61,164.13
03-24-2022,170.83,4223466,164.81,171.00,162.67
03-23-2022,164.16,2814305,163.64,166.89,162.88
03-22-2022,166.44,4099851,163.61,168.18,162.00
03-21-2022,161.80,4584370,164.57,165.95,159.00
03-18-2022,167.00,8467518,156.07,167.18,155.70
03-17-2022,157.55,5031682,153.79,157.60,151.05
03-16-2022,155.75,7105370,148.15,156.98,146.31
03-15-2022,143.95,5488743,140.00,144.73,138.32
03-14-2022,138.50,6330206,143.41,144.67,136.04
03-11-2022,145.14,4577255,154.13,155.00,145.00
03-10-2022,151.80,5302511,145.22,152.89,144.41
03-09-2022,148.31,7023908,145.43,150.99,145.33
03-08-2022,142.13,9586994,131.63,144.47,131.50
03-07-2022,131.59,9177270,145.00,145.27,131.52
03-04-2022,142.70,8397063,150.77,151.89,140.46
03-03-2022,151.69,4045757,158.33,159.22,150.99
03-02-2022,157.53,5028250,152.48,158.08,151.89
03-01-2022,151.01,5165768,150.53,154.22,149.95
02-28-2022,151.49,11078500,155.03,155.10,148.30
02-25-2022,155.09,6173207,159.26,159.45,152.91
02-24-2022,158.26,10354650,141.30,158.96,141.18
02-23-2022,150.04,9778477,165.93,166.66,149.85
02-22-2022,165.24,8392599,172.13,176.38,161.32
02-18-2022,174.90,8848753,180.26,182.66,173.62
02-17-2022,183.60,7779201,184.90,188.98,181.54
02-16-2022,186.64,22252850,178.30,191.73,178.00
02-15-2022,180.07,11733940,172.92,180.63,172.75
02-14-2022,169.66,4847552,166.63,171.80,165.03
02-11-2022,166.53,6464397,175.31,176.74,164.83
02-10-2022,171.95,8261379,165.25,177.06,165.25
02-09-2022,169.53,4868311,165.37,170.07,165.08
02-08-2022,162.26,4309070,154.00,163.08,153.44
02-07-2022,157.91,4690668,156.79,160.88,155.95
02-04-2022,155.56,4687701,150.14,157.24,150.00
02-03-2022,149.57,4577057,147.97,152.18,146.68
02-02-2022,151.76,3678315,156.31,156.51,150.71
02-01-2022,156.94,3799303,155.35,157.39,152.50
01-31-2022,153.97,5463016,144.80,153.97,143.81
01-28-2022,142.77,5604415,138.55,143.11,134.37
01-27-2022,138.41,4493776,143.48,145.55,137.92
